Influencer insta name,category_1,category_2,Followers,Audience country(mostly),Authentic engagement,Engagement avg,Engagement ratio
fcbayern,Sports with a ball,,31800000,Germany,115000,167400,0.6870
cristiano,Sports with a ball,,419600000,India,5700000,7000000,0.8143
zayn,Music,,44900000,India,3700000,5800000,0.6379
virat.kohli,Sports with a ball,,188100000,India,3100000,3400000,0.9118
oliviarodrigo,Music,Cinema & Actors/actresses,22900000,India,2800000,3500000,0.8000
georginagio,Lifestyle,Fashion,36500000,India,2500000,3500000,0.7143
rashmika_mandanna,Beauty,Art/Artists,30000000,India,1700000,2000000,0.8500
alluarjunonline,Cinema & Actors/actresses,,17600000,India,1600000,2000000,0.8000
robertdowneyjr,Cinema & Actors/actresses,,51900000,India,1600000,2100000,0.7619
miakhalifa,Fitness & Gym,Lifestyle,27700000,India,1500000,2300000,0.6522
narendramodi,Finance & Economics,Business & Careers,66500000,India,1500000,1700000,0.8824
vickykaushal09,Cinema & Actors/actresses,,13200000,India,1300000,1500000,0.8667
danbilzerian,Cinema & Actors/actresses,,32800000,India,1300000,2100000,0.6190
aliaabhatt,Cinema & Actors/actresses,,61800000,India,1200000,1500000,0.8000
rohitsharma45,Sports with a ball,Lifestyle,23300000,India,1100000,1200000,0.9167
anushkasharma,Cinema & Actors/actresses,,57500000,India,1100000,1300000,0.8462
shraddhakapoor,Cinema & Actors/actresses,,70500000,India,1100000,1300000,0.8462
katrinakaif,Beauty,,62900000,India,1000000,1100000,0.9091
thedeverakonda,Cinema & Actors/actresses,,14800000,India,984900,1200000,0.8207
ratantata,Business & Careers,,5900000,India,952200,1100000,0.8656
janhvikapoor,Lifestyle,Cinema & Actors/actresses,16100001,India,951300,1100000,0.8648
dishapatani,Cinema & Actors/actresses,Lifestyle,49600000,India,909300,1100000,0.8266
carryminati,Computers & Gadgets,Machinery & Technologies,15000000,India,885800,1000000,0.8858
norafatehi,Cinema & Actors/actresses,Music,38600000,India,865800,1100000,0.7871
hardikpandya93,Sports with a ball,,20600000,India,860300,1100000,0.7821
ashishchanchlani,Cinema & Actors/actresses,,13300000,India,832600,1000000,0.8326
hegdepooja,Cinema & Actors/actresses,,18800000,India,831700,959300,0.8670
kiaraaliaadvani,Cinema & Actors/actresses,,22100000,India,828800,939300,0.8824
akshaykumar,Cinema & Actors/actresses,,61100000,India,815300,971000,0.8396
thenameisyash,Cinema & Actors/actresses,,5900000,India,813100,964900,0.8427
rohittt_09_,Shows,Lifestyle,21200000,India,788700,1100000,0.7170
chrishemsworth,Cinema & Actors/actresses,,54000000,India,776600,998100,0.7781
bhuvan.bam22,Cinema & Actors/actresses,,14200000,India,741000,915800,0.8091
iamsrk,Cinema & Actors/actresses,,28600000,India,717000,909700,0.7882
shakira,Music,,71900000,India,691100,947200,0.7296
kapilsharma,Cinema & Actors/actresses,Shows,39800000,India,690200,789300,0.8744
dhanushkraja,Cinema & Actors/actresses,,4200000,India,685100,886300,0.7730
rahulkl,Sports with a ball,,11900000,India,676900,788500,0.8585
nehakakkar,Music,,68500000,India,664800,774400,0.8585
keerthysureshofficial,Fashion,Cinema & Actors/actresses,12500000,India,650700,743600,0.8751
priyankachopra,Cinema & Actors/actresses,,75700000,India,643000,778200,0.8263
hrithikroshan,Cinema & Actors/actresses,,41900000,India,638300,805300,0.7926
jannatzubair29,Cinema & Actors/actresses,,41200000,India,614700,748600,0.8211
sidmalhotra,Cinema & Actors/actresses,Modeling,18700000,India,602400,750000,0.8032
alwaysramcharan,Lifestyle,Cinema & Actors/actresses,5600000,India,596800,668300,0.8930
samantharuthprabhuoffl,Beauty,Modeling,22900000,India,584900,701500,0.8338
kritisanon,Modeling,,47300000,India,565500,658200,0.8592
nasa,Science,Photography,75300000,India,564500,653200,0.8642
smriti_mandhana,Sports with a ball,,5900000,India,550900,637700,0.8639
abdevilliers17,Sports with a ball,Lifestyle,17200000,India,534000,615900,0.8670
urstrulymahesh,Cinema & Actors/actresses,,8100000,India,527500,580400,0.9089
kajalaggarwalofficial,Cinema & Actors/actresses,,21700000,India,527300,638000,0.8265
nameisnani,Sports with a ball,,4800000,India,517800,559000,0.9263
anupamaparameswaran96,Cinema & Actors/actresses,,11400000,India,510400,583300,0.8750
shahidkapoor,Cinema & Actors/actresses,,33500000,India,506700,574100,0.8826
davidbeckham,Family,Sports with a ball,71900000,India,500400,641100,0.7805
rishabpant,Sports with a ball,,6100000,India,496500,589600,0.8421
emilia_clarke,Cinema & Actors/actresses,,27000000,India,490500,617200,0.7947
alexandradaddario,Cinema & Actors/actresses,,22400000,India,487900,596600,0.8178
beingsalmankhan,Cinema & Actors/actresses,Art/Artists,50700000,India,474600,604400,0.7852
kartikaaryan,Cinema & Actors/actresses,,23800000,India,472200,588200,0.8028
jaspritb1,Lifestyle,,9500000,India,466500,536000,0.8703
awez_darbar,Shows,Humor & Fun & Happiness,17800000,India,466000,558400,0.8345
tomcruise,Cinema & Actors/actresses,,6200000,India,465000,645700,0.7201
angelrai07,Humor & Fun & Happiness,,14900000,India,462200,557400,0.8292
shreyas41,Sports with a ball,Lifestyle,5900000,India,461700,575700,0.8020
geneliad,Cinema & Actors/actresses,,9600000,India,444400,550600,0.8071
justinbieber,Music,,227000000,India,439100,638200,0.6880
leaelui,Modeling,Lifestyle,11700000,India,428400,719500,0.5954
tejasswiprakash,Beauty,,5500000,India,424700,513400,0.8272
varundvn,Cinema & Actors/actresses,,40900000,India,403400,492300,0.8194
riyaz.14,Lifestyle,Art/Artists,26100000,India,399800,519500,0.7696
shehnaazgill,Cinema & Actors/actresses,Music,11300000,India,396800,496300,0.7995
i_nivethathomas,Cinema & Actors/actresses,,5900000,India,395300,447000,0.8843
anushkasen0408,Cinema & Actors/actresses,,34500000,India,379100,443800,0.8542
nazriyafahadh,Lifestyle,,5500000,India,371800,497800,0.7469
kareenakapoorkhan,Lifestyle,Cinema & Actors/actresses,8900000,India,367400,458300,0.8017
djsnake,Music,,9100000,India,362200,429600,0.8431
mr_faisu_07,Modeling,Cinema & Actors/actresses,26900000,India,362000,462100,0.7834
parineetichopra,Cinema & Actors/actresses,,35200000,India,357500,412100,0.8675
lisakudrow,Cinema & Actors/actresses,,8500000,India,356600,475700,0.7496
instagram,Photography,,487200000,India,352300,467400,0.7537
nita_shilimkar,Fashion,Modeling,10300000,India,351100,464900,0.7552
deepikapadukone,Cinema & Actors/actresses,,65500000,India,347200,450300,0.7710
marshmellomusic,Music,,29200000,India,345600,406600,0.8500
tamannaahspeaks,Music,Cinema & Actors/actresses,15900000,India,344400,401900,0.8569
rakulpreet,Cinema & Actors/actresses,Modeling,19200000,India,334100,392500,0.8512
sachintendulkar,Sports with a ball,Lifestyle,33500000,India,333400,399900,0.8337
tigerjackieshroff,Cinema & Actors/actresses,,33800000,India,331600,405000,0.8188
sureshraina3,Modeling,,19100000,India,328700,371300,0.8853
jenniferwinget1,Cinema & Actors/actresses,,12300000,India,322300,391700,0.8228
jacquelinef143,Cinema & Actors/actresses,,59300000,India,322000,391800,0.8218
sonu_sood,Cinema & Actors/actresses,,14100000,India,321300,367600,0.8740
courteneycoxofficial,Cinema & Actors/actresses,,12100000,India,319900,421900,0.7582
esbilgic,Lifestyle,Modeling,6700000,India,319100,407100,0.7838
ananyapanday,Cinema & Actors/actresses,,21900000,India,318200,371800,0.8558
ranveersingh,Cinema & Actors/actresses,Modeling,38900000,India,314700,408400,0.7706
justinbieber,Music,,227400000,India,314200,445300,0.7056
sunnyleone,Beauty,Cinema & Actors/actresses,51500000,India,312800,421700,0.7418
yuzi_chahal23,Lifestyle,Sports with a ball,7500000,India,311500,379500,0.8208
therock,Cinema & Actors/actresses,Fitness & Gym,307000000,India,303400,396000,0.7662
madhuridixitnene,Music,Cinema & Actors/actresses,30600000,India,297200,343100,0.8662
ileana_official,Cinema & Actors/actresses,,14100000,India,286000,347700,0.8225
riteishd,Art/Artists,Cinema & Actors/actresses,13800000,India,282200,328900,0.8580
avneetkaur_13,Cinema & Actors/actresses,,30500000,India,281300,341100,0.8247
dean.schneider,Animals,,10100000,India,271500,348200,0.7797
shikhardofficial,Sports with a ball,,10800000,India,261000,298400,0.8747
raashiikhanna,Cinema & Actors/actresses,Music,8100000,India,256601,305900,0.8388
francety,Adult content,,10600000,India,250400,328300,0.7627
saraalikhan95,Cinema & Actors/actresses,,39700000,India,247900,302000,0.8209
aishwaryaraibachchan_arb,Cinema & Actors/actresses,,10000000,India,247600,316500,0.7823
alvaromorte,Cinema & Actors/actresses,,12400000,India,244500,334700,0.7305
annemarie,Shows,Music,9200000,India,242500,339600,0.7141
katherinelangford,Cinema & Actors/actresses,,25700000,India,241900,346400,0.6983
imouniroy,Cinema & Actors/actresses,,22600000,India,238900,290700,0.8218
davidwarner31,Sports with a ball,,9100000,India,238200,279700,0.8516
nehasharmaofficial,Cinema & Actors/actresses,,13900000,India,232800,267600,0.8700
marvelstudios,Cinema & Actors/actresses,Comics & sketches,36100000,India,225500,252600,0.8927
indiancricketteam,Sports with a ball,,23900000,India,223200,260300,0.8575
beberexha,Music,Lifestyle,10800000,India,221500,327000,0.6774
paulwalker,Cinema & Actors/actresses,,14600000,India,217200,297800,0.7293
mohanshakti,Art/Artists,Cinema & Actors/actresses,14900000,India,207000,248000,0.8347
darshanravaldz,Music,,14800000,India,205900,249100,0.8266
diljitdosanjh,Cinema & Actors/actresses,,12900000,India,203300,244700,0.8308
urvashirautela,Cinema & Actors/actresses,,46400000,India,193400,229900,0.8412
realhinakhan,Cinema & Actors/actresses,,16700000,India,189500,233600,0.8112
arishfakhan138,Cinema & Actors/actresses,,28000000,India,183100,221400,0.8270
dqsalmaan,Cinema & Actors/actresses,,10200000,India,176800,239600,0.7379
lamborghini,Luxury,Cars & Motorbikes,31600000,India,174400,240500,0.7252
anjimaxuofficially,Lifestyle,,11100000,India,173300,221200,0.7835
divyankatripathidahiya,Shows,Cinema & Actors/actresses,18900000,India,146500,168200,0.8710
sonamkapoor,Fashion,Modeling,31900000,India,145800,173500,0.8403
gima_ashi,Lifestyle,,13900000,India,145100,197800,0.7336
shreyaghoshal,Music,,23700000,India,127700,142500,0.8961
amandacerny,Humor & Fun & Happiness,,24100000,India,112900,180600,0.6251
gururandhawa,Music,,31500000,India,110800,135400,0.8183
aslisona,Cinema & Actors/actresses,Lifestyle,21400000,India,110200,134100,0.8218
theshilpashetty,Cinema & Actors/actresses,,24800000,India,107100,124000,0.8637
amitabhbachchan,Cinema & Actors/actresses,,30000000,India,88500,103600,0.8542
apple,Computers & Gadgets,Photography,27400000,India,83400,111200,0.7500
bmw,Cars & Motorbikes,,33100000,India,73100,97600,0.7490
fifaworldcup,Sports with a ball,,25500000,India,71200,109100,0.6526
juventus,Sports with a ball,,52900000,India,61800,89400,0.6913
lalalalisa_m,Music,,75700000,Indonesia,7500000,8600000,0.8721
jennierubyjane,Music,,64800000,Indonesia,6200000,7400000,0.8378
roses_are_rosie,Music,,57500000,Indonesia,4800000,5500000,0.8727
sooyaaa__,Music,Beauty,58600000,Indonesia,4700000,5400000,0.8704
eunwo.o_c,Music,Lifestyle,27400000,Indonesia,3600000,4500000,0.8000
actorleeminho,Cinema & Actors/actresses,,28900000,Indonesia,2800000,3700000,0.7568
bn_sj2013,Cinema & Actors/actresses,Modeling,21400000,Indonesia,2500000,2900000,0.8621
bts.bighitofficial,Music,,61700000,Indonesia,2400000,2600000,0.9231
jongsuk0206,Cinema & Actors/actresses,,22200000,Indonesia,2200000,2900000,0.7586
phs1116,Business & Careers,,9500000,Indonesia,2000000,2600000,0.7692
taehyung.bighitentertainment,Management & Marketing,Music,10300000,Indonesia,2000000,2100000,0.9524
oohsehun,Music,,22900000,Indonesia,1900000,2400000,0.7917
skawngur,Cinema & Actors/actresses,,17800000,Indonesia,1800000,2500000,0.7200
hi_songjoongki,Cinema & Actors/actresses,,8800000,Indonesia,1700000,2400000,0.7083
bbrightvc,Cinema & Actors/actresses,,13500000,Indonesia,1700000,2000000,0.8500
realstraykids,Music,,20100000,Indonesia,1700000,2000000,0.8500
dntlrdl,Lifestyle,,5900000,Indonesia,1500000,2000000,0.7500
kimjuncotton,Lifestyle,,9700000,Indonesia,1400000,1700000,0.8235
renebaebae,Lifestyle,Modeling,9900000,Indonesia,1400000,1700000,0.8235
clean_0828,Lifestyle,,5500000,Indonesia,1300000,1600000,0.8125
johnnyjsuh,Lifestyle,Music,8100000,Indonesia,1300000,1600000,0.8125
xeesoxee,Lifestyle,,8900000,Indonesia,1300000,1700000,0.7647
ssinz7,Music,Cinema & Actors/actresses,13500000,Indonesia,1300000,1600000,0.8125
zkdlin,Music,,13900000,Indonesia,1300000,1600000,0.8125
twicetagram,Music,Modeling,24600000,Indonesia,1300000,1600000,0.8125
imhyoseop,Lifestyle,,6000000,Indonesia,1200000,1400000,0.8571
suga_bighitentertainment,Lifestyle,,7900000,Indonesia,1200000,1400000,0.8571
jin_bighitentertainment,Lifestyle,,8500000,Indonesia,1200000,1400000,0.8571
min9yu_k,Music,,6000000,Indonesia,1100000,1300000,0.8462
m_kayoung,Cinema & Actors/actresses,,7900000,Indonesia,1100000,1500000,0.7333
tenlee_1001,Music,,9400000,Indonesia,1100000,1400000,0.7857
_imyour_joy,Lifestyle,,13500000,Indonesia,1100000,1400000,0.7857
blackpinkofficial,Music,,46200000,Indonesia,1100000,1400000,0.7857
leedongwook_official,Cinema & Actors/actresses,,14100000,Indonesia,1000000,1400000,0.7143
heybiblee,Modeling,,13500000,Indonesia,971100,1300000,0.7470
jichangwook,Cinema & Actors/actresses,,19200000,Indonesia,920200,1200000,0.7668
somsomi0309,Music,,13900000,Indonesia,894600,1100000,0.8133
mingue.k,Shows,,3300000,Indonesia,893500,1100000,0.8123
jinyoung_0922jy,Music,,9300000,Indonesia,881400,1200000,0.7345
skuukzky,Clothing & Outfits,Music,17500000,Indonesia,871400,1100000,0.7922
riaricis1795,Lifestyle,,30300000,Indonesia,868200,1100000,0.7893
hi_sseulgi,Modeling,,11900000,Indonesia,849600,1100000,0.7724
kun11xd,Lifestyle,,6500000,Indonesia,802400,1000000,0.8024
nct127,Music,,13700000,Indonesia,787200,972300,0.8096
xxxibgdrgn,Photography,Fashion,20600000,Indonesia,785300,999100,0.7860
rachel_mypark,Cinema & Actors/actresses,,9700000,Indonesia,784600,977100,0.8030
itzy.all.in.us,Music,,15800000,Indonesia,761500,930800,0.8181
bighit_ent,Music,,13000000,Indonesia,721300,888500,0.8118
bobbyindaeyo,Music,,3400000,Indonesia,679100,791200,0.8583
kyo1122,Cinema & Actors/actresses,,12900000,Indonesia,636200,810500,0.7849
nct,Music,,13600000,Indonesia,624900,819900,0.7622
yerimiese,Lifestyle,,10100000,Indonesia,620300,768100,0.8076
xuminghao_o,Music,,4300000,Indonesia,615900,776200,0.7935
fadiljaidi,Lifestyle,,7000000,Indonesia,581500,873000,0.6661
yoona__lim,Cinema & Actors/actresses,,13200000,Indonesia,571600,683200,0.8367
youngdae0302,Music,,3800000,Indonesia,561400,741400,0.7572
yejinhand,Cinema & Actors/actresses,,6000000,Indonesia,537100,699000,0.7684
wdohwan,Cinema & Actors/actresses,,4400000,Indonesia,504800,669000,0.7546
marcmarquez93,Racing Sports,,6600000,Indonesia,478200,634500,0.7537
__youngbae__,Music,,12700000,Indonesia,478000,542300,0.8814
thariqhalilintar,Shows,,6500000,Indonesia,476900,590200,0.8080
aurelie.hermansyah,Beauty,,25300000,Indonesia,475200,601100,0.7906
daniel.k.here,Lifestyle,,4800000,Indonesia,458900,577400,0.7948
fcbarcelona,Sports with a ball,,107100000,Indonesia,450100,687900,0.6543
jessicajane99,Lifestyle,,6000000,Indonesia,441400,582300,0.7580
jeromepolin,Education,Humor & Fun & Happiness,6500000,Indonesia,424200,622400,0.6816
zachking,Shows,Humor & Fun & Happiness,24500000,Indonesia,413900,637700,0.6491
nianaguerrero,Music,Kids & Toys,14000000,Indonesia,410600,514800,0.7976
bumkeyk,Music,,9000000,Indonesia,376300,451600,0.8333
lestykejora,Music,,24900000,Indonesia,372900,484000,0.7705
vousmevoyez,Music,Cinema & Actors/actresses,10100000,Indonesia,366600,475800,0.7705
sooyoungchoi,Beauty,Lifestyle,6900000,Indonesia,348900,420700,0.8293
redvelvet.smtown,Music,Beauty,11400000,Indonesia,327900,398900,0.8220
rizkybillar,Shows,Beauty,12600000,Indonesia,322100,414800,0.7765
valeyellow46,Racing Sports,,13300000,Indonesia,310500,405300,0.7661
syifahadjureal,Modeling,,14900000,Indonesia,295700,365000,0.8101
dindahw,Cinema & Actors/actresses,,13900000,Indonesia,288800,431500,0.6693
iqbaal.e,Cinema & Actors/actresses,,13400000,Indonesia,271400,465900,0.5825
hztttao,Music,,11300000,Indonesia,253100,281300,0.8998
sandrinna_11,Lifestyle,,10400000,Indonesia,252200,321600,0.7842
bebytsabina,Modeling,,7100000,Indonesia,243400,373900,0.6510
tiffanyyoungofficial,Modeling,Fashion,11600000,Indonesia,240500,301200,0.7985
natashawilona12,Beauty,,37500000,Indonesia,233300,278600,0.8374
baifernbah,Lifestyle,,10400000,Indonesia,224500,284600,0.7888
9gag,Humor & Fun & Happiness,,58300000,Indonesia,214700,276900,0.7754
amandamanopo,Modeling,Beauty,15200000,Indonesia,189600,250500,0.7569
anyageraldine,Music,,10700000,Indonesia,182300,305200,0.5973
rachelvennya,Kids & Toys,Family,6700000,Indonesia,176400,372500,0.4736
jokowi,Finance & Economics,,45800000,Indonesia,158000,196000,0.8061
bclsinclair,Music,,20200000,Indonesia,153500,242600,0.6327
attahalilintar,Art/Artists,Shows,23100000,Indonesia,140200,192300,0.7291
chelseafc,Sports with a ball,,33200001,Indonesia,115700,172400,0.6711
maudyayunda,Music,,15400000,Indonesia,110900,163500,0.6783
bramastavrl,Cinema & Actors/actresses,Lifestyle,23700000,Indonesia,109100,138900,0.7855
felicyangelista_,Family,,21000000,Indonesia,107000,147800,0.7240
dagelan,Humor & Fun & Happiness,,20600000,Indonesia,83400,140500,0.5936
sarwendah29,Music,Lifestyle,30800000,Indonesia,75400,89200,0.8453
inijedar,Cinema & Actors/actresses,,29400000,Indonesia,74500,99700,0.7472
ruben_onsu,Cinema & Actors/actresses,Shows,37900000,Indonesia,64200,79500,0.8075
raisa6690,Music,,30400000,Indonesia,60600,94000,0.6447
prillylatuconsina96,Cinema & Actors/actresses,Music,46600000,Indonesia,56400,81600,0.6912
raffinagita1717,Shows,,60600000,Indonesia,37400,52500,0.7124
eminem,Cinema & Actors/actresses,Music,35600000,Iran,771200,993500,0.7762
yastunes,Music,,8000000,Iran,644000,894000,0.7204
alidaei,Sports with a ball,,8000000,Iran,555800,937000,0.5932
navidmohammadzadeh,Cinema & Actors/actresses,,8200000,Iran,541400,764000,0.7086
mehraadjam,Music,,4700000,Iran,385000,564100,0.6825
donya,Fashion,,14700000,Iran,379800,596700,0.6365
sinavaliollah,Shows,,6800000,Iran,376400,474700,0.7929
milad_khahhh,Lifestyle,,5600000,Iran,365100,512701,0.7121
realshadmehr,Music,,7600000,Iran,330200,460800,0.7166
hassan_reyvandi,Cinema & Actors/actresses,Humor & Fun & Happiness,18700000,Iran,330100,456500,0.7231
aliiiiiiiikarimi8,Sports with a ball,,9100000,Iran,328700,495100,0.6639
golfarahani,Cinema & Actors/actresses,,12600000,Iran,307500,395700,0.7771
perspolis,Sports with a ball,,7600000,Iran,276500,393200,0.7032
elnazshakerdoost,Cinema & Actors/actresses,,9500000,Iran,219000,295700,0.7406
saharghoreyshiofficialpage,Lifestyle,,10700000,Iran,193800,283900,0.6826
ebi,Music,,10300000,Iran,193600,260500,0.7432
rezagolzar,Cinema & Actors/actresses,,11700000,Iran,178500,263100,0.6784
mahnaz_afshar,Cinema & Actors/actresses,Lifestyle,15700000,Iran,154300,212900,0.7248
mercedesbenz,Cars & Motorbikes,Luxury,35300000,Iran,75000,106800,0.7022
aboflah,Humor & Fun & Happiness,,7200000,Iraq,793400,949400,0.8357
anasmarwah,Family,Shows,5500000,Iraq,431800,557500,0.7745
asalamaleh,Shows,,6600000,Iraq,415900,514500,0.8084
noorstars,Shows,,12600000,Iraq,149500,199600,0.7490
nancyajram,Music,,32400000,Iraq,140300,179500,0.7816
fedez,Music,,13700000,Italy,725500,1000000,0.7255
maneskinofficial,Lifestyle,,6000000,Italy,519400,733500,0.7081
charles_leclerc,Racing Sports,,6600000,Italy,473900,629200,0.7532
chiaraferragni,Beauty,,26700000,Italy,372000,616600,0.6033
maluma,Music,,61600000,Italy,329200,507600,0.6485
fabriziorom,Literature & Journalism,Shows,6400000,Italy,328900,570600,0.5764
canyaman,Cinema & Actors/actresses,Modeling,9300000,Italy,324400,402800,0.8054
iamzlatanibrahimovic,Sports with a ball,,52900000,Italy,306700,473100,0.6483
f1,Racing Sports,,18300000,Italy,266600,337700,0.7895
violets.tv,Adult content,,13500000,Italy,221300,303500,0.7292
kingarturo23oficial,Sports with a ball,,16700000,Italy,120800,194800,0.6201
alvaromorata,Sports with a ball,Literature & Journalism,16200000,Italy,113100,175200,0.6455
kentooyamazaki,Cinema & Actors/actresses,,4900000,Japan,583000,677100,0.8610
watanabenaomi703,Cinema & Actors/actresses,Humor & Fun & Happiness,9700000,Japan,339000,361000,0.9391
karolg,Music,,50800000,Mexico,4500000,5400000,0.8333
dualipa,Music,,81600000,Mexico,2200000,2700000,0.8148
elrubiuswtf,Computers & Gadgets,,16200000,Mexico,1400000,1500000,0.9333
domelipa,Lifestyle,,17200000,Mexico,1100000,1300000,0.8462
iamferv,Lifestyle,Art/Artists,8800000,Mexico,1000000,1500000,0.6667
kimberly.loaiza,Clothing & Outfits,Lifestyle,33900000,Mexico,995000,1200000,0.8292
luisitocomunica,Humor & Fun & Happiness,Clothing & Outfits,31700000,Mexico,939800,1200000,0.7832
dannapaola,Music,,33500000,Mexico,931600,1300000,0.7166
lelepons,Music,,47700000,Mexico,724300,1100000,0.6585
iambeckyg,Music,,31200000,Mexico,679200,817400,0.8309
manurios,Shows,,9900000,Mexico,572700,966000,0.5929
elrodrigocontreras,Lifestyle,,12700000,Mexico,563100,620800,0.9071
lizgillz,Music,Cinema & Actors/actresses,13900000,Mexico,563000,816300,0.6897
keniaos,Music,,12600000,Mexico,545200,709000,0.7690
juandediospantoja,Music,Art/Artists,21500000,Mexico,519100,591800,0.8772
amadorat,Fashion,Lifestyle,8100000,Mexico,505000,564400,0.8948
juki_lop,Shows,Family,9100000,Mexico,493000,573300,0.8599
yuyacst,Modeling,,17100000,Mexico,389800,598200,0.6516
ladivaza,Music,Modeling,6800000,Mexico,388900,474500,0.8196
nicolegarcia,Lifestyle,,5300000,Mexico,384900,503400,0.7646
juanpazurita,Cinema & Actors/actresses,,28600000,Mexico,341700,485800,0.7034
soydannyalfaro,Beauty,,8000000,Mexico,329400,377400,0.8728
alejandrospeitzer,Lifestyle,,5100000,Mexico,313300,488600,0.6412
angela_aguilar_,Lifestyle,,8200000,Mexico,285500,346000,0.8251
nattinatasha,Music,Cinema & Actors/actresses,35400000,Mexico,281100,338300,0.8309
jbalvin,Music,,51900000,Mexico,273600,363000,0.7537
nodal,Music,,8400000,Mexico,252400,415500,0.6075
ederbez,Cinema & Actors/actresses,Lifestyle,18100000,Mexico,248300,278900,0.8903
aislinnderbez,Cinema & Actors/actresses,,12000000,Mexico,235700,295400,0.7979
kimshantal,Music,,11600000,Mexico,203300,237800,0.8549
canelo,Fitness & Gym,,12800000,Mexico,203000,282200,0.7193
lunay,Music,,10300000,Mexico,202600,296600,0.6831
kevinroldankr,Music,,10100000,Mexico,180200,291400,0.6184
manelyk_oficial,Music,,14100000,Mexico,179500,240400,0.7467
martingarrix,Music,,15600000,Mexico,152800,216300,0.7064
belindapop,Music,,14900000,Mexico,136700,197000,0.6939
achrafhakimi,Sports with a ball,,8800000,Morocco,520000,764500,0.6802
hziyech,Sports with a ball,,6000000,Morocco,348400,476000,0.7319
kawtarbamo,Cinema & Actors/actresses,,7200000,Morocco,275900,374100,0.7375
wizkidayo,Music,,14200000,Nigeria,243300,473400,0.5139
davido,Music,,23300000,Nigeria,184900,259300,0.7131
winmetawin,Lifestyle,,11700000,Philippines,1300000,1500000,0.8667
kittychicha,Lifestyle,,4200000,Philippines,678800,823400,0.8244
bernardokath,Beauty,Cinema & Actors/actresses,16800000,Philippines,452700,545400,0.8300
nadine,Music,Shows,11100000,Philippines,319900,354600,0.9021
lizasoberano,Beauty,Cinema & Actors/actresses,16900000,Philippines,243100,289900,0.8386
blythe,Cinema & Actors/actresses,Modeling,13400000,Philippines,196900,224100,0.8786
annecurtissmith,Music,Cinema & Actors/actresses,17800000,Philippines,134700,152300,0.8844
_rl9,Sports with a ball,,25000000,Poland,588600,749000,0.7858
ester_exposito,Cinema & Actors/actresses,,29000000,Russia,2900000,4300000,0.6744
madelame,Cinema & Actors/actresses,,25300000,Russia,1300000,1800000,0.7222
mikhail_litvin,Shows,,14600000,Russia,972000,1200000,0.8100
samoylovaoxana,Family,Lifestyle,15200000,Russia,897600,1200000,0.7480
thebursin,Cinema & Actors/actresses,,10300000,Russia,891200,1200000,0.7427
ler_chek,Lifestyle,Beauty,10500000,Russia,713000,923300,0.7722
brianmaps,Photography,,5800000,Russia,608400,627900,0.9689
gusein.gasanov,Shows,,21000000,Russia,524500,786100,0.6672
nadin_serovski,Family,Lifestyle,9400000,Russia,515701,710100,0.7262
goar_avetisyan,Beauty,,11500000,Russia,510500,707900,0.7211
realbarbarapalvin,Modeling,Fashion,17500000,Russia,480200,649000,0.7399
pugachevmark,Cars & Motorbikes,Luxury,10000000,Russia,358100,525900,0.6809
pokrov90,Shows,,7300000,Russia,350300,408100,0.8584
helen_yes1,Cinema & Actors/actresses,,10500000,Russia,342400,442600,0.7736
egorkreed,Music,,14700000,Russia,322600,396900,0.8128
_agentgirl_,Shows,,18800000,Russia,310800,377900,0.8224
subo_m,Shows,,9000000,Russia,294200,360400,0.8163
khabib_nurmagomedov,Fitness & Gym,,33300000,Russia,252600,353300,0.7150
dava_m,Business & Careers,,13700000,Russia,166000,215900,0.7689
timatiofficial,Music,Fitness & Gym,18000000,Russia,151200,202400,0.7470
borodylia,Shows,Family,18200000,Russia,123000,153200,0.8029
irinashayk,Modeling,,17900000,Russia,121800,169000,0.7207
hakkiakdenizz,Business & Careers,,17600000,Russia,120200,174400,0.6892
djokernole,Sports with a ball,,10400000,Serbia,195700,240900,0.8124
dlwlrma,Art/Artists,,25800000,South Korea,2900000,3500000,0.8286
hi_high_hiy,Cinema & Actors/actresses,,12900000,South Korea,2600000,3000000,0.8667
hoooooyeony,Lifestyle,,23700000,South Korea,2000000,2700000,0.7407
_seorina,Lifestyle,Cinema & Actors/actresses,3000000,South Korea,803900,997800,0.8057
taeyeon_ss,Music,,18300000,South Korea,762000,925800,0.8231
leeyoum262,Photography,Humor & Fun & Happiness,8100000,South Korea,562700,688800,0.8169
hyeri_0609,Music,,7000000,South Korea,447600,539000,0.8304
hyunah_aa,Music,,17600000,South Korea,378100,448700,0.8427
ibaillanos,Art/Artists,,6800000,Spain,859100,1200000,0.7159
rosalia.vt,Music,,19500000,Spain,737000,967100,0.7621
sergioramos,Sports with a ball,,49700000,Spain,606900,930300,0.6524
anuel,Music,,27900000,Spain,586000,892100,0.6569
zidane,Sports with a ball,,31200000,Spain,546000,744100,0.7338
frenkiedejong,Sports with a ball,,10000000,Spain,528600,792500,0.6670
rogerfederer,Sports with a ball,,9200000,Spain,484700,627900,0.7719
ansufati,Sports with a ball,,8000000,Spain,475200,721000,0.6591
o.dembele7,Sports with a ball,,10300000,Spain,468600,804000,0.5828
3gerardpique,Sports with a ball,,19800000,Spain,446100,658800,0.6771
grefg_official,Computers & Gadgets,Machinery & Technologies,7100000,Spain,440100,546100,0.8059
