Influencer insta name,category_1,category_2,Followers,Audience country(mostly),Authentic engagement,Engagement avg,Engagement ratio
natgeo,Nature & landscapes,Science,214600000,United States,124700,145500,0.8570
bugatti,Cars & Motorbikes,Luxury,16100001,United States,124100,168500,0.7365
miketyson,Fitness & Gym,,18100000,United States,122800,157300,0.7807
kingbach,Music,Art/Artists,22100000,United States,120600,242000,0.4983
krisjenner,Shows,Beauty,46600000,United States,119600,183400,0.6521
earthpix,Nature & landscapes,Photography,22700000,United States,118700,145900,0.8136
taylor_hill,Art/Artists,Fashion,18900000,United States,115500,172900,0.6680
kevinhart4real,Cinema & Actors/actresses,,140200000,United States,111300,141000,0.7894
diddy,Music,Cinema & Actors/actresses,18400000,United States,109400,164500,0.6650
sofiavergara,Cinema & Actors/actresses,,24800000,United States,109000,143000,0.7622
rockstargames,Computers & Gadgets,,22300000,United States,108500,135200,0.8025
thehughjackman,Cinema & Actors/actresses,,30300000,United States,107100,122400,0.8750
camerondallas,Cinema & Actors/actresses,,23000000,United States,104800,182600,0.5739
bleacherreport,Sports with a ball,,18400000,United States,103800,204700,0.5071
quavohuncho,Music,,20800000,United States,103000,170100,0.6055
fortnite,Computers & Gadgets,,26100000,United States,102100,120300,0.8487
alexisren,Lifestyle,,15800000,United States,102000,158100,0.6452
jimmyfallon,Shows,Humor & Fun & Happiness,21300000,United States,97200,120900,0.8040
porsche,Cars & Motorbikes,,26400000,United States,97100,124400,0.7805
frenchmontana,Music,,24500000,United States,91500,151600,0.6036
lakers,Sports with a ball,,19300000,United States,85800,132400,0.6480
warriors,Lifestyle,Sports with a ball,22200000,United States,81700,112800,0.7243
playstation,Computers & Gadgets,Machinery & Technologies,28900000,United States,80500,99300,0.8107
houseofhighlights,Sports with a ball,,32700001,United States,64600,117200,0.5512
letthelordbewithyou,Lifestyle,Family,26500000,United States,61500,92200,0.6670
snoopdogg,Lifestyle,Music,71800000,United States,60900,85500,0.7123
gucci,Accessories & Jewellery,Clothing & Outfits,47900000,United States,57900,74300,0.7793
adidasoriginals,Clothing & Outfits,Shopping & Retail,34200000,United States,52400,71800,0.7298
natgeotravel,Nature & landscapes,Photography,45400000,United States,50600,56900,0.8893
nba,Sports with a ball,,65800000,United States,40600,68200,0.5953
theellenshow,Shows,Cinema & Actors/actresses,116800000,United States,29200,33300,0.8769
